shop_id,nama_toko,username_shopee,followers,jumlah_produk,rating,rating_baik,rating_normal,rating_buruk,lokasi,official,verified,preferred_plus,response_rate,response_time_detik,cancellation_rate,deskripsi,estimasi_total_orders,estimasi_monthly_orders,estimasi_monthly_revenue_idr
124549994,"Mineral Botanica Official Shop","mineralbotanicaofficialshop",431254,137,4.862995,479740,7719,1457,"KOTA JAKARTA UTARA","Ya","Tidak","Tidak",100,163,0,"Mineral Botanica Official Shop adalah akun resmi dari Mineral Botanica di Platform Shopee.
Order di sabtu-minggu dan hari libur akan diproses di Senin/ hari kerja.

Mineral Botanica is an Indonesian B",3911328,108648,8691840000
697623782,"MGG SKIN","mggskin",414871,17,4.861747,247927,3814,495,"KAB. SIDOARJO","Tidak","Ya","Tidak",99,4404,0,"MGGSKIN Official Account's

BPOM APPROVED✅

IG : @mggskin",2017888,56052,4484160000
41005244,"Raecca Beauty Care Official ","raeccaofficial",411477,261,4.884167,322963,4371,655,"KOTA BANDUNG","Ya","Tidak","Tidak",72,10175,0,"Raecca Beauty Care Official adalah akun resmi dari Raecca Beauty Care di platform Shopee.",2623912,72886,5830880000
1192945801,"Judydoll Official Store","judydoll.indonesia",397972,81,4.915173,298885,3398,794,"KOTA JAKARTA UTARA","Ya","Tidak","Tidak",100,1610,0,"Judydoll Official Store adalah akun resmi dari Judydoll di platform Shopee. 

Global Sensation Make Up inspired from the Vibrant Shanghai.

Daily make up made easy and youthful.
 100% BPOM
 100% O",2424616,67350,5388000000
1606188,"Pratista Official Shop","pratista_id",392127,63,4.881408,337441,3804,505,"KOTA DEPOK","Ya","Tidak","Tidak",100,1269,0,"Pratista Official Shop adalah akun resmi dari Pratista di platfrom shopee.

** Senin - Jum'at : 08.00 - 16.00
** Sabtu : 08.00 - 15.00
** Minggu/ tgl merah kami libur pengiriman.
** Masa Pengemasan 1-",2734000,75944,6075520000
131426439," Just Miss Official Shop","justmiss.id",389501,112,4.878208,410256,5991,1196,"KAB. TANGERANG","Ya","Tidak","Tidak",100,39,0,"Just Miss Official Shop adalah akun resmi dari Just Miss di platform Shopee

✅ Semua produk kami READY Stok
 Bisa Bayar di Tempat (COD) 
⏰ Jadwal buka toko: Senin-Minggu jam 8-5 
 Lama Pengiriman:",3339544,92765,7421200000
39323272,"fleuri","fleuribeaute",388420,216,4.785,1217229,37565,8184,"KOTA SURABAYA","Tidak","Ya","Ya",90,4705,0,"Ready, Set, BEAUTY!
Follow  @fleuribeaute
100% ORIGINAL PRODUCT
READY STOCK
Fast Respons + Fast Delivery
We accept DROPSHIP (please leave a message in the note)

Admin working hours = 
Mon",10103824,280662,22452960000
150222332,"SYB Official Shop","sybofficial",382408,324,4.821133,494404,12450,2361,"KOTA SURABAYA","Ya","Tidak","Tidak",99,8768,0,"SYB Official Shop adalah akun resmi dari SYB Official di Platform Shopee.
SYB adalah brand produk personal care/skin care, cocok bagi insan yang peduli terhadap kecantikannya, SYB aman dan nyaman kare",4073720,113159,9052720000
87869551,"Roro Mendut Skin Official Shop","pabrikroromendut",361878,151,4.860932,320158,4697,780,"KOTA YOGYAKARTA","Ya","Tidak","Tidak",98,6660,0,"Roro Mendut Skin Official Shop adalah akun resmi Roro Mendut Skincare di platform Shopee. Roro Mendut Skincare adalah brand skincare lokal dengan bahan-bahan asli pertanian Indonesia dan juga memiliki",2605080,72363,5789040000
255757415,"Miniso Beauty Official Shop","minisobeauty",361612,391,4.883994,94316,1331,279,"KOTA JAKARTA UTARA","Ya","Tidak","Tidak",100,1270,0,"MINISO is a lifestyle product retailer, offering high quality household goods, cosmetics and food at affordable prices. 

Founder and CEO Ye Guofu gained inspiration for MINISO while on vacation wit",767408,21317,1705360000
127156054,"Bio Beauty Lab Official Shop","biobeautylab",354084,119,4.949582,346283,1510,285,"KOTA JAKARTA UTARA","Ya","Tidak","Tidak",98,3719,1,"Bio Beauty Lab Official Shop adalah akun resmi dari biobeautylab di platform shopee.

pengiriman : 
- senin - sabtu ( JNT & GO-SEND ) 
- minggu & tanggal merah ( open GO-SEND max jam 12 siang ) 

happ",2784624,77351,6188080000
